original,location,sample_period,duplicate,location.1,sample_period.1
IG2013006,Igloolik,17,IG2013006,Igloolik,17
IG2013008,Igloolik,17,IG2013008,Igloolik,17
IG2013008,Igloolik,17,IG2013009,Igloolik,17
IG2013010,Igloolik,17,IG2013010,Igloolik,17
IG2013011,Igloolik,17,IG2013011,Igloolik,17
IG2013012,Igloolik,17,IG2013012,Igloolik,17
IG2013012,Igloolik,17,IG2013013,Igloolik,17
IG2013014,Igloolik,17,IG2013014,Igloolik,17
IG2013015,Igloolik,17,IG2013015,Igloolik,17
IG2013017,Igloolik,17,IG2013017,Igloolik,17
IG2013018,Igloolik,17,IG2013018,Igloolik,17
IG2013019,Igloolik,17,IG2013019,Igloolik,17
IG2013021,Igloolik,17,IG2013021,Igloolik,17
IG2013022,Igloolik,17,IG2013022,Igloolik,17
IG2013023,Igloolik,17,IG2013023,Igloolik,17
IG2013024,Igloolik,17,IG2013024,Igloolik,17
IG2013025,Igloolik,17,IG2013025,Igloolik,17
IG2013026,Igloolik,17,IG2013026,Igloolik,17
IG2013027,Igloolik,17,IG2013027,Igloolik,17
IG2013028,Igloolik,17,IG2013028,Igloolik,17
IG2013029,Igloolik,17,IG2013029,Igloolik,17
IG2013029,Igloolik,17,IG2013091,Igloolik,17
IG2013030,Igloolik,17,IG2013030,Igloolik,17
IG2013031,Igloolik,17,IG2013031,Igloolik,17
IG2013033,Igloolik,17,IG2013033,Igloolik,17
IG2013035,Igloolik,17,IG2013035,Igloolik,17
IG2013036,Igloolik,17,IG2013036,Igloolik,17
IG2013037,Igloolik,17,IG2013037,Igloolik,17
IG2013038,Igloolik,17,IG2013038,Igloolik,17
IG2013039,Igloolik,17,IG2013039,Igloolik,17
IG2013040,Igloolik,17,IG2013040,Igloolik,17
IG2013041,Igloolik,17,IG2013041,Igloolik,17
IG2013042,Igloolik,17,IG2013042,Igloolik,17
IG2013043,Igloolik,17,IG2013043,Igloolik,17
IG2013044,Igloolik,17,IG2013044,Igloolik,17
IG2013045,Igloolik,17,IG2013076,Igloolik,17
IG2013045,Igloolik,17,IG2013081,Igloolik,17
IG2013045,Igloolik,17,IG2013045,Igloolik,17
IG2013045,Igloolik,17,IG2013080,Igloolik,17
IG2013047,Igloolik,17,IG2013047,Igloolik,17
IG2013048,Igloolik,17,IG2013048,Igloolik,17
IG2013050,Igloolik,17,IG2013051,Igloolik,17
IG2013050,Igloolik,17,IG2013050,Igloolik,17
IG2013052,Igloolik,17,IG2013052,Igloolik,17
