"","x"
"1861",1383
"1862",552
"1863",4121
"1864",1312
"1865",2898
"1866",523
"1867",4005
"1868",3675
"1869",3640
"1870",5683
"1871",454
"1872",1016
"1873",80
"1874",5203
"1875",1288
"1876",3728
"1877",6212
"1878",5067
"1879",5596
"1880",6242
"1881",64
"1882",5944
"1883",4174
"1884",2813
"1885",633
"1886",28
"1887",5067
"1888",242
"1889",4164
"1890",4873
"1891",3936
"1892",2005
"1893",1984
"1894",626
"1895",1153
"1896",1141
"1897",1811
"1898",4999
"1899",191
"1900",4841
"1901",1171
"1902",1458
"1903",4568
"1904",1007
"1905",624
"1906",2659
"1907",2965
"1908",3256
"1909",1671
"1910",227
"1911",641
"1912",616
"1913",185
"1914",301
"1915",1952
"1916",583
"1917",3855
"1918",2533
"1919",4909
"1920",1129
"1921",2577
"1922",6165
"1923",98
"1924",1598
"1925",9858
"1926",2179
"1927",1058
"1928",400
"1929",868
"1930",5912
"1931",2025
"1932",4406
"1933",941
"1934",4377
"1935",6438
"1936",7499
"1937",8591
"1938",8647
"1939",1616
"1940",6020
"1941",4655
"1942",1052
"1943",4085
"1944",14
"1945",1924
"1946",6637
"1947",935
"1948",6146
"1949",2536
"1950",389
"1951",91
"1952",5373
"1953",1307
"1954",723
"1955",212
"1956",711
"1957",1355
"1958",1409
"1959",1053
"1960",97
"1961",1578
"1962",4462
"1963",5585
"1964",3824
"1965",3475
"1966",2627
"1967",7657
"1968",397
"1969",855
"1970",4988
"1971",1708
"1972",197
"1973",2359
"1974",1229
"1975",301
"1976",6881
"1977",4706
"1978",799
"1979",10257
"1980",1266
"1981",1729
"1982",3134
"1983",453
"1984",1779
"1985",1152
"1986",2619
"1987",1637
"1988",6407
"1989",1437
"1990",2434
"1991",1936
"1992",5423
"1993",9735
"1994",7067
"1995",998
"1996",4731
"1997",1719
"1998",420
"1999",2672
"2000",1545
"2001",451
"2002",1763
"2003",274
"2004",257
"2005",2652
"2006",198
"2007",5985
"2008",450
"2009",2339
"2010",1436
"2011",1002
"2012",1826
"2013",5515
"2014",12318
"2015",19
"2016",1807
"2017",2163
"2018",153
"2019",2633
"2020",212
"2021",2341
"2022",2011
"2023",1983
"2024",46
"2025",39
"2026",1233
"2027",6360
"2028",11315
"2029",6677
"2030",1170
"2031",1364
"2032",1414
"2033",461
"2034",2310
"2035",2669
"2036",475
"2037",7545
"2038",5194
"2039",539
"2040",98
"2041",2039
"2042",3619
"2043",4535
"2044",809
"2045",460
"2046",1399
"2047",2729
"2048",1506
"2049",3189
"2050",302
"2051",3615
"2052",760
"2053",1110
"2054",5581
"2055",3827
"2056",11080
"2057",5303
"2058",4241
"2059",52
"2060",47
"2061",260
"2062",1092
"2063",6079
"2064",2371
"2065",83
"2066",655
"2067",2426
"2068",1087
"2069",838
"2070",8785
"2071",6514
"2072",497
"2073",296
"2074",1319
"2075",215
"2076",53
"2077",3654
"2078",4114
"2079",2684
"2080",803
"2081",55
"2082",1578
"2083",4760
"2084",2313
"2085",3582
"2086",1829
"2087",2271
"2088",85
"2089",11163
"2090",8107
"2091",8968
"2092",3041
"2093",467
"2094",614
"2095",7414
"2096",274
"2097",3414
"2098",982
"2099",4353
"2100",2768
"2101",2402
"2102",149
"2103",2761
"2104",1935
"2105",2846
"2106",2870
"2107",1388
"2108",963
"2109",822
"2110",2475
"2111",4264
"2112",6960
"2113",290
"2114",184
"2115",2476
"2116",2553
"2117",2038
"2118",2144
"2119",978
"2120",4024
"2121",606
"2122",7456
"2123",2208
"2124",2185
"2125",6
"2126",867
"2127",6615
"2128",55
"2129",2505
"2130",1788
"2131",4498
"2132",186
"2133",3833
"2134",6697
"2135",454
"2136",1473
"2137",2584
"2138",7782
"2139",227
"2140",10240
"2141",1922
"2142",1093
"2143",1372
"2144",1071
"2145",118
"2146",14379
"2147",1036
"2148",4083
"2149",609
"2150",7440
"2151",2037
"2152",3491
"2153",3921
"2154",271
"2155",7848
"2156",1957
"2157",2127
"2158",5576
"2159",434
"2160",552
"2161",1363
"2162",2143
"2163",1658
"2164",918
"2165",182
"2166",7952
"2167",3441
"2168",113
"2169",1070
"2170",1365
"2171",774
"2172",1103
"2173",2260
"2174",666
"2175",3386
"2176",1811
"2177",1167
"2178",3630
"2179",40
"2180",468
"2181",2942
"2182",8427
"2183",2169
"2184",509
"2185",887
"2186",255
"2187",4150
"2188",9070
"2189",2800
"2190",7383
"2191",3002
"2192",3732
"2193",821
"2194",5718
"2195",9015
"2196",903
"2197",6727
"2198",2805
"2199",230
"2200",1192
"2201",774
"2202",7704
"2203",8006
"2204",5934
"2205",3629
"2206",2469
"2207",1761
"2208",21009
"2209",2270
"2210",15199
"2211",2049
"2212",270
"2213",816
"2214",3159
"2215",708
"2216",1006
"2217",804
"2218",239
"2219",4110
"2220",1559
"2221",458
"2222",1990
"2223",5206
"2224",69
"2225",6039
"2226",822
"2227",2707
"2228",1855
"2229",789
"2230",949
"2231",119
"2232",5846
"2233",409
"2234",2498
"2235",2248
"2236",7329
"2237",1254
"2238",558
"2239",11305
"2240",1452
"2241",1987
